"Nome";"CodeName";"Indice";"Visivel";"Protegida";"UsedRange";"Celulas"
"Início";"Planilha1";"1";"2";"False";"$A$1:$H$26";"208"
"Configuração";"Planilha2";"2";"2";"False";"$A$1:$G$200";"1400"
"Analitos";"Planilha3";"3";"2";"False";"$A$1:$AF$43";"1376"
"LotesStore";"Planilha4";"4";"2";"False";"$A$1:$N$41";"574"
"DB_Resultados";"Planilha5";"5";"2";"False";"$A$1:$BD$15003";"840168"
"Calc";"Planilha6";"6";"2";"False";"$A$1:$BG$182";"10738"
"Painel";"Planilha7";"7";"2";"False";"$A$1:$R$8";"144"
"Registros";"Planilha8";"8";"2";"False";"$A$1:$M$203";"2639"
"EQC_Dados";"Planilha9";"9";"2";"False";"$A$1:$O$1003";"15045"
"Estatística";"Planilha10";"10";"2";"False";"$A$1:$U$86";"1806"
"Usuarios";"Planilha11";"11";"2";"False";"$A$1:$N$53";"742"
"Liberação";"Planilha12";"12";"2";"False";"$A$1:$J$203";"2030"
"LiberStore";"Planilha13";"13";"2";"False";"$A$1:$D$1";"4"
"RegistrosStore";"Planilha14";"14";"2";"False";"$A$1:$L$201";"2412"
"Resultados";"Planilha16";"15";"-1";"False";"$A$1:$AA$3003";"81081"
"Login";"Planilha15";"16";"-1";"False";"$C$1:$I$31";"217"
