Aba;Endereco;FormulaR1C1;Valor
Configuração;C21;=IFERROR(INDEX(Configuração!R26C4:R50C4,MATCH(R20C3,Configuração!R26C3:R50C3,0)),"");46203
Analitos;A2;="LOTE EM USO:  "&loteAtivo&"   ·   Estes valores (Média/DP/CLIA/VB) pertencem só a este lote — troque o lote em Configuração para ver/editar os de outro. Linhas em branco = novos exames.";LOTE EM USO:  999999   ·   Estes valores (Média/DP/CLIA/VB) pertencem só a este lote — troque o lote em Configuração para ver/editar os de outro. Linhas em branco = novos exames.
Analitos;Q4;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R4;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));15
Analitos;S4;=IF(RC1="","",IF(RC11<>"",RC11/3,""));5
Analitos;T4;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y4;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));4.40467973810309
Analitos;Z4;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));5.13077480735145
Analitos;AA4;=IF(RC25="","",RC5-(RC5-RC25)*1.1);4.36837498464067
Analitos;AB4;=IF(RC26="","",RC5+(RC26-RC5)*1.1);5.16707956081387
Analitos;AC4;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));1.05786820443956
Analitos;AD4;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));1.38758634101499
Analitos;AE4;=IF(RC29="","",RC7-(RC7-RC29)*1.1);1.04138229761078
Analitos;AF4;=IF(RC30="","",RC7+(RC30-RC7)*1.1);1.40407224784376
Analitos;Q5;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R5;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));17
Analitos;S5;=IF(RC1="","",IF(RC11<>"",RC11/3,""));5.66666666666667
Analitos;T5;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y5;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));4.19664110574859
Analitos;Z5;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));4.83972253061504
Analitos;AA5;=IF(RC25="","",RC5-(RC5-RC25)*1.1);4.16448703450527
Analitos;AB5;=IF(RC26="","",RC5+(RC26-RC5)*1.1);4.87187660185837
Analitos;AC5;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));9.20886370734201
Analitos;AD5;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));9.93659083811253
Analitos;AE5;=IF(RC29="","",RC7-(RC7-RC29)*1.1);9.17247735080348
Analitos;AF5;=IF(RC30="","",RC7+(RC30-RC7)*1.1);9.97297719465106
Analitos;Q6;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R6;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));10
Analitos;S6;=IF(RC1="","",IF(RC11<>"",RC11/3,""));3.33333333333333
Analitos;T6;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y6;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));3.39
Analitos;Z6;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));4.41
Analitos;AA6;=IF(RC25="","",RC5-(RC5-RC25)*1.1);3.339
Analitos;AB6;=IF(RC26="","",RC5+(RC26-RC5)*1.1);4.461
Analitos;AC6;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));2.14
Analitos;AD6;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));2.92
Analitos;AE6;=IF(RC29="","",RC7-(RC7-RC29)*1.1);2.101
Analitos;AF6;=IF(RC30="","",RC7+(RC30-RC7)*1.1);2.959
Analitos;Q7;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R7;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));15
Analitos;S7;=IF(RC1="","",IF(RC11<>"",RC11/3,""));5
Analitos;T7;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y7;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));0.264598033490367
Analitos;Z7;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));0.319401966509633
Analitos;AA7;=IF(RC25="","",RC5-(RC5-RC25)*1.1);0.261857836839404
Analitos;AB7;=IF(RC26="","",RC5+(RC26-RC5)*1.1);0.322142163160596
Analitos;AC7;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));1.04269294668456
Analitos;AD7;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));1.22667068967907
Analitos;AE7;=IF(RC29="","",RC7-(RC7-RC29)*1.1);1.03349405953484
Analitos;AF7;=IF(RC30="","",RC7+(RC30-RC7)*1.1);1.2358695768288
Analitos;Q8;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R8;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));20
Analitos;S8;=IF(RC1="","",IF(RC11<>"",RC11/3,""));6.66666666666667
Analitos;T8;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y8;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));1.09675930075977
Analitos;Z8;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));1.23942251742205
Analitos;AA8;=IF(RC25="","",RC5-(RC5-RC25)*1.1);1.08962613992665
Analitos;AB8;=IF(RC26="","",RC5+(RC26-RC5)*1.1);1.24655567825517
Analitos;AC8;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));4.36439654315007
Analitos;AD8;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));4.81969436594084
Analitos;AE8;=IF(RC29="","",RC7-(RC7-RC29)*1.1);4.34163165201053
Analitos;AF8;=IF(RC30="","",RC7+(RC30-RC7)*1.1);4.84245925708038
Analitos;Q9;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R9;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));10
Analitos;S9;=IF(RC1="","",IF(RC11<>"",RC11/3,""));3.33333333333333
Analitos;T9;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y9;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));8.21
Analitos;Z9;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));9.47
Analitos;AA9;=IF(RC25="","",RC5-(RC5-RC25)*1.1);8.147
Analitos;AB9;=IF(RC26="","",RC5+(RC26-RC5)*1.1);9.533
Analitos;AC9;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));11.55
Analitos;AD9;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));13.05
Analitos;AE9;=IF(RC29="","",RC7-(RC7-RC29)*1.1);11.475
Analitos;AF9;=IF(RC30="","",RC7+(RC30-RC7)*1.1);13.125
Analitos;Q10;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R10;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));15
Analitos;S10;=IF(RC1="","",IF(RC11<>"",RC11/3,""));5
Analitos;T10;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y10;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));288.304064459113
Analitos;Z10;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));355.786844631796
Analitos;AA10;=IF(RC25="","",RC5-(RC5-RC25)*1.1);284.929925450479
Analitos;AB10;=IF(RC26="","",RC5+(RC26-RC5)*1.1);359.16098364043
Analitos;AC10;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));173.769342657668
Analitos;AD10;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));212.230657342332
Analitos;AE10;=IF(RC29="","",RC7-(RC7-RC29)*1.1);171.846276923435
Analitos;AF10;=IF(RC30="","",RC7+(RC30-RC7)*1.1);214.153723076565
Analitos;Q11;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R11;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));10
Analitos;S11;=IF(RC1="","",IF(RC11<>"",RC11/3,""));3.33333333333333
Analitos;T11;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
