"Nome";"RefersTo";"Visivel"
"_xlfn.AGGREGATE";"=#NAME?";"False"
"_xlfn.AVERAGEIFS";"=#NAME?";"False"
"_xlfn.COUNTIFS";"=#NAME?";"False"
"_xlfn.IFERROR";"=#NAME?";"False"
"_xlfn.MAXIFS";"=#NAME?";"False"
"_xlfn.MINIFS";"=#NAME?";"False"
"_xlfn.SINGLE";"=#NAME?";"False"
"_xlfn.SUMIFS";"=#NAME?";"False"
"aInput";"=Analitos!$E$4:$P$43";"True"
"axmax1";"=Calc!$BC$1";"True"
"axmax2";"=Calc!$BE$1";"True"
"axmin1";"=Calc!$BB$1";"True"
"axmin2";"=Calc!$BD$1";"True"
"cadLogin";"=Usuarios!$H$5";"True"
"cadMsg";"=Usuarios!$G$11";"True"
"cadNome";"=Usuarios!$H$6";"True"
"cadPapel";"=Usuarios!$H$8";"True"
"cadSenha";"=Usuarios!$H$7";"True"
"currentPapel";"=Usuarios!$N$2";"True"
"currentUser";"=Usuarios!$N$1";"True"
"filtroAte";"=Painel!$G$4";"True"
"filtroDe";"=Painel!$G$3";"True"
"libView";"=Liberação!$C$4:$F$203";"True"
"loginMsg";"=Login!$C$20";"True"
"loginPass";"=Login!$E$15";"True"
"loginUser";"=Login!$E$13";"True"
"loteAtivo";"=Configuração!$C$20";"True"
"loteCarregado";"=Configuração!$G$1";"True"
"qsel1";"=Painel!$M$3";"True"
"qsel2";"=Painel!$M$4";"True"
"qsel3";"=Painel!$N$3";"True"
"qsel4";"=Painel!$N$4";"True"
"rAnalito";"=DB_Resultados!$E$4:$E$15003";"True"
"rData";"=DB_Resultados!$B$4:$B$15003";"True"
"regAnalito";"=Registros!$C$4:$C$203";"True"
"regCalib";"=Registros!$I$4:$I$203";"True"
"regData";"=Registros!$B$4:$B$203";"True"
"regLoteCol";"=Configuração!$C$26:$C$50";"True"
"regNivel";"=Registros!$D$4:$D$203";"True"
"regRep1";"=Registros!$F$4:$F$203";"True"
"regRep2";"=Registros!$G$4:$G$203";"True"
"regRep3";"=Registros!$H$4:$H$203";"True"
"regView";"=Registros!$B$4:$M$203";"True"
"rFirst";"=DB_Resultados!$BB$4:$BB$15003";"True"
"rLote";"=DB_Resultados!$BA$4:$BA$15003";"True"
"rNivel";"=DB_Resultados!$C$4:$C$15003";"True"
"rRUN";"=DB_Resultados!$A$4:$A$15003";"True"
"rRunUnico";"=DB_Resultados!$BC$4:$BC$15003";"True"
"rStatus";"=DB_Resultados!$G$4:$G$15003";"True"
"rValor";"=DB_Resultados!$F$4:$F$15003";"True"
"selAnalito";"=Painel!$C$3";"True"
"xrunmax";"=Calc!$BG$1";"True"
"xrunmin";"=Calc!$BF$1";"True"
