"Nome";"CodeName";"Indice";"Visivel";"Protegida";"UsedRange";"Celulas"
"Cfg_Status";"Planilha17";"1";"0";"False";"$B$2:$D$12";"33"
"Eventos_Westgard";"Planilha18";"2";"-1";"False";"$A$1:$I$5003";"45027"
"Resultados";"Planilha16";"3";"-1";"False";"$A$1:$AA$3003";"81081"
"Início";"Planilha1";"4";"-1";"False";"$A$1:$H$26";"208"
"Configuração";"Planilha2";"5";"-1";"False";"$A$1:$G$200";"1400"
"Analitos";"Planilha3";"6";"-1";"False";"$A$1:$AJ$43";"1548"
"LotesStore";"Planilha4";"7";"2";"False";"$A$1:$N$41";"574"
"DB_Resultados";"Planilha5";"8";"-1";"False";"$A$1:$BD$15003";"840168"
"Calc";"Planilha6";"9";"2";"False";"$A$1:$CG$182";"15470"
"Painel";"Planilha7";"10";"-1";"False";"$A$1:$R$9";"162"
"Registros";"Planilha8";"11";"-1";"False";"$A$1:$M$203";"2639"
"EQC_Dados";"Planilha9";"12";"-1";"False";"$A$1:$O$1003";"15045"
"Estatística";"Planilha10";"13";"-1";"False";"$A$1:$U$126";"2646"
"Usuarios";"Planilha11";"14";"-1";"False";"$A$1:$N$53";"742"
"Liberação";"Planilha12";"15";"-1";"False";"$A$1:$J$203";"2030"
"LiberStore";"Planilha13";"16";"2";"False";"$A$1:$D$1";"4"
"RegistrosStore";"Planilha14";"17";"2";"False";"$A$1:$L$201";"2412"
"Login";"Planilha15";"18";"2";"False";"$C$1:$I$31";"217"
