"Aba";"Tipo";"Nome";"Detalhe"
"Resultados";"Forma";"btnOp0";"8"
"Resultados";"Forma";"btnOp1";"8"
"Resultados";"Forma";"btnOp2";"8"
"Resultados";"Forma";"btnOp3";"8"
"Início";"Forma";"btnLogout";"8"
"DB_Resultados";"Forma";"btnNovaCorrida";"8"
"Painel";"Grafico";"Chart 1";"75"
"Painel";"Grafico";"Chart 2";"75"
"Painel";"Grafico";"Chart 3";"75"
"Painel";"Forma";"Chart 1";"3"
"Painel";"Forma";"Chart 2";"3"
"Painel";"Forma";"Chart 3";"3"
"Painel";"Forma";"Spinner 1";"8"
"Painel";"Forma";"Check Box 2";"8"
"Painel";"Forma";"Check Box 3";"8"
"Painel";"Forma";"Check Box 4";"8"
"Painel";"Forma";"Check Box 5";"8"
"Painel";"Forma";"btnDev";"1"
"Painel";"Forma";"btnHist";"8"
"Usuarios";"Forma";"btnCad";"8"
"Login";"Forma";"btnLogin";"8"
