"Analito";"Nivel";"RUN";"Producao";"Motor"
"WBC";"2";"10";"REJEITADO";"OK"
"WBC";"2";"20";"OK";"REJEITADO"
"WBC";"3";"15";"REJEITADO";"OK"
"WBC";"3";"20";"OK";"REJEITADO"
"HCT";"1";"1";"OK";"REJEITADO"
"HCT";"3";"1";"OK";"REJEITADO"
"HCT";"3";"22";"REJEITADO";"OK"
"MCH";"1";"12";"REJEITADO";"OK"
"MCH";"3";"8";"REJEITADO";"OK"
"MCH";"3";"9";"REJEITADO";"OK"
"MCH";"3";"10";"REJEITADO";"OK"
"MCH";"3";"11";"REJEITADO";"OK"
"MCHC";"2";"13";"REJEITADO";"OK"
"MCHC";"3";"11";"REJEITADO";"OK"
"MCHC";"3";"12";"REJEITADO";"OK"
"MCHC";"3";"13";"REJEITADO";"OK"
"MCHC";"3";"14";"REJEITADO";"OK"
"MCHC";"3";"23";"REJEITADO";"OK"
"MCHC";"3";"24";"REJEITADO";"OK"
"PLT";"1";"23";"REJEITADO";"OK"
"NEUT#";"1";"10";"REJEITADO";"OK"
"NEUT#";"1";"16";"OK";"REJEITADO"
"NEUT#";"1";"23";"REJEITADO";"OK"
"NEUT#";"1";"24";"REJEITADO";"OK"
"NEUT#";"2";"16";"OK";"REJEITADO"
"NEUT#";"3";"19";"REJEITADO";"OK"
"LYMPH#";"3";"18";"REJEITADO";"OK"
"LYMPH#";"3";"19";"REJEITADO";"OK"
"LYMPH#";"3";"22";"REJEITADO";"OK"
"MONO#";"3";"8";"REJEITADO";"OK"
"MONO#";"3";"9";"REJEITADO";"OK"
"MONO#";"3";"10";"REJEITADO";"OK"
"EO#";"1";"14";"REJEITADO";"OK"
"EO#";"1";"15";"REJEITADO";"OK"
"EO#";"1";"16";"REJEITADO";"OK"
"EO#";"1";"17";"REJEITADO";"OK"
"EO#";"3";"7";"REJEITADO";"OK"
"BASO#";"3";"7";"REJEITADO";"OK"
"IG#";"2";"24";"REJEITADO";"OK"
"NRBC%";"2";"2";"REJEITADO";"OK"
"NRBC%";"2";"24";"OK";"REJEITADO"
"NRBC%";"3";"15";"REJEITADO";"OK"
"NRBC#";"1";"22";"REJEITADO";"OK"
"NRBC#";"1";"23";"REJEITADO";"OK"
"NRBC#";"1";"24";"REJEITADO";"OK"
"NRBC#";"1";"25";"REJEITADO";"OK"
"NRBC#";"3";"11";"REJEITADO";"OK"
"NRBC#";"3";"12";"REJEITADO";"OK"
"NRBC#";"3";"13";"REJEITADO";"OK"
"NRBC#";"3";"14";"REJEITADO";"OK"
"NRBC#";"3";"22";"REJEITADO";"OK"
"RDW-SD";"2";"9";"REJEITADO";"OK"
"RDW-SD";"2";"11";"REJEITADO";"OK"
"RDW-SD";"2";"24";"REJEITADO";"OK"
"RDW-CV";"1";"6";"OK";"REJEITADO"
"RDW-CV";"1";"13";"REJEITADO";"OK"
"RDW-CV";"1";"14";"REJEITADO";"OK"
"RDW-CV";"1";"17";"REJEITADO";"OK"
"RDW-CV";"1";"18";"OK";"REJEITADO"
"RDW-CV";"2";"6";"OK";"REJEITADO"
"RDW-CV";"2";"18";"OK";"REJEITADO"
"RDW-CV";"3";"6";"OK";"REJEITADO"
"RDW-CV";"3";"18";"OK";"REJEITADO"
"RET%";"1";"3";"REJEITADO";"OK"
"RET%";"1";"18";"OK";"REJEITADO"
"RET%";"2";"18";"OK";"REJEITADO"
"RET%";"2";"24";"REJEITADO";"OK"
"RET%";"3";"18";"OK";"REJEITADO"
"RET#";"1";"16";"REJEITADO";"OK"
"RET#";"1";"17";"REJEITADO";"OK"
"RET#";"3";"21";"REJEITADO";"OK"
"RET#";"3";"22";"REJEITADO";"OK"
