"Nivel";"Celula";"Coluna";"Tipo"
"1";"B7";"2";"ALTERADA"
"1";"C7";"3";"ALTERADA"
"1";"D7";"4";"ALTERADA"
"1";"E7";"5";"ALTERADA"
"1";"F7";"6";"EXTRA"
"1";"J7";"10";"ALTERADA"
"1";"M7";"13";"ALTERADA"
"1";"N7";"14";"EXTRA"
"1";"O7";"15";"ALTERADA"
"1";"P7";"16";"EXTRA"
"1";"Q7";"17";"EXTRA"
"1";"R7";"18";"EXTRA"
"1";"S7";"19";"EXTRA"
"1";"T7";"20";"EXTRA"
"1";"U7";"21";"EXTRA"
"2";"B8";"2";"ALTERADA"
"2";"C8";"3";"ALTERADA"
"2";"D8";"4";"ALTERADA"
"2";"E8";"5";"ALTERADA"
"2";"F8";"6";"EXTRA"
"2";"J8";"10";"ALTERADA"
"2";"M8";"13";"ALTERADA"
"2";"N8";"14";"EXTRA"
"2";"O8";"15";"EXTRA"
"2";"P8";"16";"EXTRA"
"2";"Q8";"17";"EXTRA"
"2";"R8";"18";"EXTRA"
"2";"S8";"19";"EXTRA"
"2";"T8";"20";"EXTRA"
"2";"U8";"21";"EXTRA"
"1";"H7";"8";"ALTERADA"
"1";"I7";"9";"ALTERADA"
"2";"H8";"8";"ALTERADA"
"2";"I8";"9";"ALTERADA"
