"Modulo";"Procedimento";"Aba";"Linha";"Codigo"
"mDados";"UpsertResultados";"DB_Resultados";"96";"ws.Cells(lin, COL_RESULT).Value = regs(i, COL_RESULT)"
"mDados";"UpsertResultados";"DB_Resultados";"97";"ws.Cells(lin, COL_STATUS).Value = ST_ATIVO"
"mDados";"UpsertResultados";"DB_Resultados";"98";"ws.Cells(lin, COL_DATA).Value = regs(i, COL_DATA)"
"mDados";"UpsertResultados";"DB_Resultados";"99";"ws.Cells(lin, COL_LOTE).Value = regs(i, COL_LOTE)"
"mDados";"UpsertResultados";"DB_Resultados";"120";"ws.Range(ws.Cells(lastRow + 1, COL_RUN), ws.Cells(lastRow + nAdd, COL_STATUS)).Value = outp"
"mDados";"ExcluirLogico";"DB_Resultados";"137";"ws.Cells(BANCO_R0 + i - 1, COL_STATUS).Value = ST_EXCLUIDO"
"mEstatistica";"AtualizarCalc";"Eng_Saida";"336";"ws.Range(ws.Cells(KC0, 2), ws.Cells(KC0 + NK - 1, COL_VALOR0 + NLV - 1)).ClearContents"
"mEstatistica";"AtualizarCalc";"Eng_Saida";"337";"ws.Range(""C1"").Value = analito"
"mEstatistica";"AtualizarCalc";"Eng_Saida";"338";"ws.Range(""E1"").Value = lote"
"mEstatistica";"AtualizarCalc";"Eng_Saida";"339";"ws.Range(""G1"").Value = Now"
"mEstatistica";"AtualizarCalc";"Eng_Saida";"340";"ws.Range(""I1"").Value = 0"
"mEstatistica";"AtualizarCalc";"Eng_Saida";"423";"ws.Range(ws.Cells(KC0, 2), ws.Cells(KC0 + nRun - 1, 2)).Value = outRun"
"mEstatistica";"AtualizarCalc";"Eng_Saida";"437";"ws.Range(ws.Cells(KC0, COL_FILTRO), ws.Cells(KC0 + nRun - 1, COL_FILTRO)).Value = outFil"
"mEstatistica";"AtualizarCalc";"Eng_Saida";"438";"ws.Range(ws.Cells(KC0, COL_VALOR0), ws.Cells(KC0 + nRun - 1, COL_VALOR0 + NLV - 1)).Value = outVal"
"mEstatistica";"AtualizarCalc";"Eng_Saida";"461";"ws.Range(ws.Cells(KC0, EF0 + t * NEF), ws.Cells(KC0 + nRun - 1, EF0 + t * NEF + NEF - 1)).Value = outLvl"
"mEstatistica";"AtualizarCalc";"Eng_Saida";"464";"ws.Range(""I1"").Value = nRun"
"mEstatistica";"AtualizarPainelEng";"Eng_Saida";"738";"eng.Range(eng.Cells(LINHA_STAT, 1), eng.Cells(LINHA_STAT + NLV - 1, 21)).Value = outStat"
"mEstatistica";"AtualizarEstatisticaAba";"Eng_Saida";"810";"eng.Range(eng.Cells(LINHA_EST, 3), eng.Cells(LINHA_EST + linhas - 1, 13)).Value = outp"
"mEstatistica";"RegistrarEventosWestgard";"Eventos_Westgard";"832";"ws.Range(""A4:H5003"").ClearContents"
"mEstatistica";"RegistrarEventosWestgard";"Eventos_Westgard";"952";"ws.Range(ws.Cells(4, 1), ws.Cells(3 + nEv, 8)).Value = outp"
"mEstatistica";"RegistrarEventosWestgard";"Eventos_Westgard";"954";"ws.Range(""J2"").Value = nEv"
"mLotes";"SalvarViewNoBloco";"LotesStore";"35";"stA.Range(stA.Cells(r0, 3), stA.Cells(r0 + CAP_ANALITOS - 1, 14)).Value = srcA.Value"
"mLotes";"SalvarViewNoBloco";"LotesStore";"37";"stA.Cells(r0 + i, 1).Value = lote"
"mLotes";"SalvarViewNoBloco";"LotesStore";"38";"stA.Cells(r0 + i, 2).Value = i + 1"
"mLotes";"SalvarViewNoBloco";"LiberStore";"44";"stL.Range(stL.Cells(rb0, 1), stL.Cells(rb0 + NLB_LIBER - 1, 4)).Value = srcL.Value"
"mLotes";"SalvarViewNoBloco";"RegistrosStore";"49";"stR.Range(stR.Cells(rr0, 1), stR.Cells(rr0 + NLB_LIBER - 1, 12)).Value = srcR.Value"
"mLotes";"CarregarBlocoNaView";"LotesStore";"62";"dstA.Value = stA.Range(stA.Cells(r0, 3), stA.Cells(r0 + CAP_ANALITOS - 1, 14)).Value"
"mLotes";"CarregarBlocoNaView";"LiberStore";"68";"dstL.Value = stL.Range(stL.Cells(rb0, 1), stL.Cells(rb0 + NLB_LIBER - 1, 4)).Value"
"mLotes";"CarregarBlocoNaView";"RegistrosStore";"73";"dstR.Value = stR.Range(stR.Cells(rr0, 1), stR.Cells(rr0 + NLB_LIBER - 1, 12)).Value"
"mOperacao";"AtualizarViewResultados";"Resultados";"26";"ws.Range(ws.Cells(VIEW_R0, c0), ws.Cells(VIEW_R0 + VIEW_ROWS - 1, c0 + 5)).ClearContents"
"mOperacao";"AtualizarViewResultados";"Resultados";"65";"ws.Range(ws.Cells(VIEW_R0, c0), ws.Cells(VIEW_R0 + cont(t) - 1, c0 + 5)).Value = outp"
"mSeguranca";"DoLogin";"Usuarios";"123";"ThisWorkbook.Names(""currentUser"").RefersToRange.Value = ThisWorkbook.Sheets(""Usuarios"").Cells(r, 1).Value"
"mSeguranca";"DoLogin";"Usuarios";"124";"ThisWorkbook.Names(""currentPapel"").RefersToRange.Value = ThisWorkbook.Sheets(""Usuarios"").Cells(r, 3).Value"
"mSeguranca";"CadastrarUsuario";"Usuarios";"155";"ws.Cells(r, 1).Value = lg: ws.Cells(r, 2).Value = nm: ws.Cells(r, 3).Value = pp"
"mSeguranca";"CadastrarUsuario";"Usuarios";"156";"ws.Cells(r, 4).Value = SHA256Hex(sn)"
"mSeguranca";"AssinarCom";"Usuarios";"174";"tcell.Offset(0, 1).Value = ws.Cells(r, 1).Value & "" · "" & Format(Now, ""dd/mm/yyyy hh:mm"")"
